,0
179,"Está ubicado en excelente zona de la ciudad.  Las habitaciones son grandes y súper cómodas.  Buen desayuno, amé la decoración del restaurante y el menaje en el que lo sirven.  El staff de la recepción tiene una increíble.  Muy recomendado."
180,excelente servicio. felicitaciones a todo el personal. Las instalaciones y muebles muy confortables. Me sentí como en casa. la vista que ofrece el hotel es espectacular. volveria a Barranquilla y al Four Points By Sheraton 
181,"Todo fue de maravilla. Agradezco enormemente por el servicio prestado. Mil gracias. Un trato ejemplar y de calidad. Volveré al hotel sin pensarlo dos veces, todo estuvo más que excelente. De igual forma, recomendaré este hotel. "
182,"El hotel esta muy bien ubicado, las instalaciones estan muy limpias, bien cuidadas y da el aspecto de ser nuevo. El personal muy amable, el wifi funciono excelente, invitada a regresar y recomendarlo. Estuve en Barranquilla por motivos de trabajo y cumplio totalmente con mis expectativas."
183,"Todo estuvo perfectamente me encanto demasiado, el desayuno tiene bastante variedad adicional mente a esto el personal es muy agradable, alegre y amigable con esas ganas de servir y hacer sentirme como en casa"
184,Todo estuvo excelente la atención en recepción y botones muy buena y el desayuno mucha variedad.  Volvería nuevamente calor humano y excelentes persona al servicio.  Me sentí como en casa todos son muy amables 
185,"Me parece que es un hotel que trata excelente al cliente, buen ambiente, instalaciones excelentes que permiten un buen descanso. El aire acondicionado en la habitación funciona excelente. Se encuentra ubicado en una excelente zona de la ciudad y hay muchas opciones de restaurantes y centros comerciales. Tiene facilidad de acceso a transporte. "
186,"El hotel muy bien ubicado, en una excelente zona y cerca de centros comerciales. La habitación muy cómoda, el desayuno excelente y variado y lo mejor de todo, la piscina en la terraza que le da sol todo el tiempo, un poco pequeña pero muy agradable."
187,"El hotel nos gustó mucho, el desayuno muy bueno, la amabilidad de todo el personal. Lo recomendamos 100%. Es un buen hotel y muy bien ubicado.Pero sobre todo el personal siempre atento y muy especial."
188,"El personal es muy atento y se esmeran mucho en hacer de la estadía la mejor, muy buen hotel, recomendado 100% solo un detalle con el parqueadero que la capacidad es insuficiente en temporada alta,. sin embargo es seguro parquear fuera del hotel"
189,"La habitación es muy cómoda, el aire acondicionado funciona muy bien; el baño muy bueno,ducha excelente y cama muy comoda para mi gusto. El hotel es silencioso y bien ubicado. Lo mejor es el nivel de atención de todas las personas con las que tuve contacto, desde la recepción hasta la camarera; la atención de todas las personas en el restaurante a la hora del desayuno fue excelente, felicitaciones!!!"
190,servir en todos los servios a los deshueses para que se sienten tranquilo y sin afanes y extres y puedan disfrutar o manejar los tiempo con mucha tranquila las locacion y la privacidad que tengamos toda la familia
191,"En general muy bueno, mejorar el servicio de toallas en la habitación cómo en el Spa ya que fue un inconveniente reiterativo durante la estadía. En el check-in don Eduardo nos dijo que  esperáramos 20 minutos mientras gestionaba la reserva, y cuando nos dimos cuenta él ya no se encontraba en la recepción por lo que nos tocó hablar con otra persona para saber si podíamos alojarnos."
192,"Se sugiere que se consulte con los clientes el tipo de colchón que desean, la cama era de colchón demasiado blando lo que dificultó el descanso El servicio de toallas en la posiciona un poco demorado La piscina debería ser climatizada"
193,"Las habitaciones muy cómodas y el desayuno fue muy bueno. Falta una barra de ensaladas y más variedad de jugos, pero lo demás muy bueno. Las canecas de los baños de las habitaciones deberían estar tapadas por higiene.El personal muy amable y atento."
194,"Excelente me encanta la comodidad de las habitaciones, la comida, limpieza, orden. Para mejorar el servicio post venta, una vez salí del hotel me percaté el olvido en la habitación de mi chaqueta llame al hotel quedaron en verificar y regresarme la llamada y sigo esperando."
195,el personal muy amable intentando que mi estancia fuera agradable. las instalaciones muy buenas .limpio y confirtable y el buffet de desayuno bueno con un servicio esmerado. camas y almohadas muy comodas
196,"el hotel la estadía fue excelente, adicional la atención fue muy buena. comida, internet, todas las áreas estaban limpias, recomendamos el lugar para pasar en familia en barran quilla, personal atento y dispuesto ayudar."
197,"Excelente atención, es un hotel limpio en absoluto, nada de humedad ni malos olores. El desayuno es muy variado. Excelente experiencia, como siempre. El personal muy atento a cubrir las necesidades de los huéspedes."
198,El hotel esta ubicado en un punto estrategico muy cerca de restaurantes y centro comercial las habitaciones muy comodas y el personal muy atento volveremos pronto una felicitacion a su gran equipo de trabajo 
199,"Fue una estancia como ninguna hasta ahora, el único detalle fue insignificante (se trata de la falla de una de las lámparas cuyo apagador está en la entrada) y el resto fue impecable, pude descansar sin problemas y el personal siempre estuvo a la orden para cualquier solicitud.En General fue Genial"
200,"Esta ha sido la única vez en que el servicio de check in no fue el mejor y no fue por la espera, eso se entiende, si no por la actitud de quien atendía (un joven), pudo tener el detalle de saludar y pedir que esperara, pero fui ignorada totalmente por espacio de 10 minutos, si bien es cierto que tenía a alguien en fila, no estaba haciendo registro sino esperando a que la huésped resolviera un tema de acomodación, sólo hasta que apareció una señorita me atendió, estando en fila de cara al joven que menciono."
201,Me he hospedado en este hotel en distintas oportunidades; buen servicio y excelente ubicación. Una lástima que hayan desmejorado el buffet del desayuno; no hay variedad de frutas; café recalentado y pan viejo.
202,"Buena ubicación, aunque algo alejado del aeropuerto, buen servicio, buena atención del personal en general en el check-in check-out, restaurant, buena relación calidad-precio, algo fallo en iluminación de cuarto"
203,"Excelente atención al cliente, servicio, habitaciones limpias, alimentación saludable, personal atento con iniciativa para colaborar, eficientes al momento de responder una solicitud. Agradecemos bastante el servicio que nos prestaron.  "
204,"Es un lugar en donde todos los integrantes del equipo te hacen sentir como en casa y siempre con una sonrisa en su rostro, cada espacio está impecable. Cualquier cosa que necesito es solucionada de inmediato. Es un gran hotel."
205,"El hotel se encuentra bien ubicado, tiene acceso a restaurantes cerca y a centros comerciales. El personal es amable, las instalaciones son modernas, el servicio de desayuno tiene un menu bastante variado. "
206,"Me gustó la amabilidad de los empleados, la comodidad de la habitación, la ubicación del hotel, lo agradable de los espacios y también el servicio de internet, pues fue un servicio ágil y disponible en todos los espacios."
207,"cordial saludo nos pareció muy buena la experiencia desde la llegada, la limpieza de la habitación excelente muy amplia cómoda, la opción del menú tipo bufet muy variada muchas gracias y felicidades feliz dia"
208,"La atencion y el servicio fue excelente. Me encanto el Hotel, cuando estaba haciendo el check in me entenre que el hotel contaba con servicio de piscina, me hubiera encantado poder usarla. Quede muy contenta y lo recomiendo"
209,Dan ganas siempre de quedarse en este maravilloso hotel.  La atención es genial y siempre muy valiosa la amabilidad de todo el mundo.  La calidez y la comodidad hacen que mi familia y yo siempre deseemos ir a este hotel. Gracias. 
210,"Gracias Four points por brindarme una de las mejores estadías en una se las semanas más ocupadas que he tenido, fue magnífica la experiencia, personal siempre sonriente y dispuesto, una de las mejores noches de descanso.Relajarme en la piscina, gimnasio y baño turco fue un plus!"
211,"No tengo ninguna sugerencia, todo el servicio estuvo excelente. desde la recepción hasta las personas de la limpieza. Muchísimas gracias por haber entregado una experiencia de comodidad. Los espacios son los adecuados y el restaurante junto con la atención fue excelente."
212,En General el hotel excelente; la piscina es muy pequeña pero agradable sugiero que a abran hasta mas tarde en las horas de la noche ya que las cierran a las 7:00 pm. el personal del hotel es muy amable y diligente la comida muy rica los precios del minibar en las habitaciones muy costosos.
213,"Servicio excelente, habitación cómoda, cama súper cómoda como si fuera mi propia cama, lastimosamente la habitación 210 se escucha mucho ruido pero eso no es tan negativo para todo los servicios que ofrecen! Muy cómodo y el desayuno es espectacular "
214,Se escucha todo lo de las demás habitaciones y además alrededor hay bares que hacen mucho ruido en la noche haciendo que uno no pueda dormir por lo demás es un bien hotel buen servicio y habitaciones y comida.
215,"No estaba aseado el baño, no lo recomendaría.En el restaurante hay un mesero inexperto que derramó un poco de la bebida encima de mi bolso por descuidado y no lo limpió, ni se ofreció a limpiar ni a darme algo para limpiar."
216,"El hotel es muy cómodo, el desayuno variado y las habitaciones y espacios limpios. Por mejorar que a veces se escucha el ruido de las habitaciones laterales y eso incomoda un poco. Sugerir a los huéspedes prudencia "
217,"El hotel esta bien ubicado, sus instalaciones son cómodas y tienen todo lo necesario para un viaje de trabajo. Los empleados del hotel prestan un buen servicio, el desayuno es bueno.El restaurante para cena y almuerzo es pequeño, con una carta con varias opciones sin embargo en el sector hay muchos restaurantes con una amplia variedad gastronómica. "
218,"La disposición de la habitación es muy buena, muy cómoda, bien presentada, los empleados muy bien presentados y muy amables para atender todas las necesidades e inquietudes, sin duda es una opción para regresar"
219,El servicio es excelente. Sin embargo tuve inconvenientes con el internet en la habitación. Hubo atención inmediata por parte del personal pero no se logro superar el inconveniente. Aclaro que las anteriores veces no tuve ningún inconveniente 
220,"En el restaurante la comida es exquisita, tienen una carta muy variada y deliciosa típica comida de la costa, las habitaciones son espaciosas y el servicio es excelente. Tuve un inconveniente con mi factura pero contacte a la persona encargada y fue solucionado."
221,"Excelente para estadia de trabajo o estadias de viaje sin lujos pero con LA mejor atencion que pueda tener. ES limpio, bien ubicado, se duerme bien, se come bien, se tiene piscina y gimnasio para apenas lo necesario y a precio justo."
222,"Considero que es una muy buena alternativa para hospedaje en la ciudad de Barranquilla, por su ubicación, su confort, su infraestructura moderna, su calidad, su aseo, la amabilidad de sus empleados. Un hotel para recomendar. "
223,"Excelente estadía,  muy buen servicio y atención por parte del personal. Un desayuno Buffet excelente con comida típica de la región. La cena en el restaurante cooks a pesar de que al principio el lomo a la pimienta estaba salado me lo cambiaron y estaba excelente."
224,"Un año más regresando a este hotel para nuestras vacaciones y nuestra experiencia no pudo ser mejor, la atención al cliente es excelente, las habitaciones cómodas, los desayunos son increíbles, queremos agradecer especialmente a Neil por haber hecho todo para que nuestra estadía fuera lo más cómodo para nuestra bebé y nosotras, al personal de restaurante que fueron siempre tan amables, sobre todo Jenifer que nos recibía cada mañana con una gran sonrisa y mucha ternura con nuestra hija. Esperamos volver pronto a disfrutar de este lugar."
225,"Positiva, es un hotel de lujo. Super bien ubicado, el desayuno rico, buen cafe, personal amable, la habitacion super comoda. Lo unico malo es que se escuchaba la bulla de la tv contigua a la recamara."
226,"Tuvimos una muy buena experiencia.  Las habitaciones son cómodas y espaciosas y hay una pequeña piscina en la azotea, donde pudimos hacer una pequeña reunión después de un fin de semana de mucho trabajo en un Congrerso.  El personal ha sido muy amable, a veces los tiempos de espera en el restaurante se alargan demasiado y falta un poco de servicio para los huespedes que viajan por negocios, pero definitivamente volvería a hospedarme allí y lo recomiendo con mucho entusiasmo :)"
227,"Muy buena ubicación, es un hotel con decoración moderna, muy lindo.. El restaurante tiene un ambiente agradable, aunque considero q el desayuno se queda corto en opciones. Las habitaciones son muy cómodas y tranquilas."
228,"Los chicos de recepcion fueron muy amables, la habitacion limpia y comoda. El desayuno ofrece una gran variedad de jugos y comida tipica de Colombia, con fruta fresca, todo estuvo en general muy rico."
229,"Excelente hotel desde el recibimiento hasta mi último instante en el, personas muy amables y en los desayunos la calidez inigualable. La habitación que me asignaron impecable de principio a fin  Para repetirlo ....."
230,"Calidad del personal hacen una grata estadia, la ubicación para movilizarse en la ciudad es estratégico y esta cerca a muy buenos restaurantes. La seguridad es muy buena permite que el desplazamiento sea tranquilo"
231,"Pedi room service un par de veces y es imposible contactarlos. La experiencia en el restaurant tambien dejo mucho que desear. Ha caido mucho la calidad de este hotel. Es lamentable ya que el resto de los Four Points de Colombia que conozco como ser Cali, Medellin, son muy superiores."
232,"En general, todo muy bien. Solo les pediría tuvieran un poco más de cuidado con el aseo de la habitación. Había cabellos de mujer en la zona del lavamanos.Deberían revisar este tipo de detalles antes de entregar las habitaciones, si bien son mínimos. Hacen una diferencia al momento de usar los servicios en la habitación."
233,"Me parece un buen lugar para descansar y trabajar. Tiene unas instalaciones adecuadas y la comida es muy variada.Lo que mas me gusto fue la ubicación, es cerca a todo, es seguro y muy pacifico.Me agrado mucho."
234,"Todo perfecto. Como unica pega diria que no se podia pagar con tarjeta en el bar que habia, por culpa de eso no consumimos mas una de las noches. La estadia es excelente y en especial el servicio, es muy superior en comparacion de otros hoteles y establecimientos de la ciudad."
235,"Excelente atencion y servicio. el desayuno es muy bueno. lo unico malo en mi caso, es que las camas son muy angostas. estuve en el hotel con mi esposa y mis dos hijas pequeñas y solicite una habitacion con dos camas dobles, pero las camas dobles no son queen, son semidobles, lo cual se hace algo incomodo para dormir dos personas adultas"
236,"Me quede una noche por trabajo pero pude disfrutar sus intalacaiones , terraza , gimnasio y pisicina y asoleadoras. Lo mejor su restaurant con delicias de la costa y un excelente desayuno que balancea los fritos costenios y la comida sana y natural. "
237,"Excelente servicio, habitaciones súper cómodas, un espacio muy agradable para descansar. El hotel está ubicado en un área muy tranquila y con un muy fácil acceso a todo tipo de diversiones. El área de la piscina ubicado en el último piso del hotel es un sitio muy relajante."
238," me sentí muy bien atendido en todo   me gustaría volver  se lo recomiendo a todo mis amigos y compañeros  que  viajan a barraquilla , y disfruten no se arrepentirán de ver estado en este maravilloso hotel  de este maravilloso hotel  y su calidad humana  en todo los aspecto amable  siempre con una sonrisa  al huespe "
239,"excelente servicio en el hotel, lo único fue que mi celular no se pudo conectar a Internet. De resto fue super la atención, la locación, las personas que nos atendieron fueron muy amables y cordiales. "
240,"El establecimiento me pareció muy bonito la atención el servicio lo hacen sentir como en casa, comodidad increíble, el desayuno delicioso, volvería nuevamente muchas gracias por tan excelente servicio. "
241,"el hotel es muy lindo, personale muy amable, comida muy rica. Unico problema fue el check in donde tuve que esperar hasta las 3 y media (check in es a las 3) porque la habitacion no estaba lista. En esta situaciones deberian informar el cliente que hay una espera tan importante y ofrecer algo de tomar en el bar o restaurante (sin costos) aun mas si este cliente es platinum elite. Por el resto es muy bueno lo recomiendo. "
242,"Muy bueno, execelente experiencia, el personal del sercserv nos colaboró mucho , los recepcionista prestaron en mejor servicio y estuvieron atentos a mis necesidades , estuve muy satisfecha y agradecida ."
243,Excelente atención y un lugar muy agradable; recomendado para pasar su estadía y hacerla más amena; el personal humano es bastante atento y servicial; es céntrico a lugares comerciales de la ciudad; tiene buena opción de transporte
244,"Un hotel muy cómodo y tranquilo, el servicio y amabilidad de todas las personas es excelente, muy cerca a restaurantes. Las habitaciones son amplias y perfectas para el descanso y el desayuno es delicioso. "
245,"Buen servicio, con personal muy amable y atento. Muy buen precio por el tipo de hospedaje. El desayuno incluido variado y de buena calidad. Cuarto limpio con muebles nuevos. Buena ubicacion,cerca a todos los restaurantes y comercios que valen lapena visitar. "
246,"el servicio fue super excelente las habitaciones muy confortables y aseadas el personal super atento,solo utilice el servicio de restaurante para el desayuno super excelente, adicional la ubicacion del hotel es la adecuada los negocios aledaños al hotel muy adecuados el aire super excelente en si el hotel es otro mundo aparte con relacion al calor que hace en barranquilla super queridos los empleados"
247,"Excelente ubicación, excelente atención. Desayuno delicioso con mucha variedad. La cama deliciosa.El área de la piscina pienso que pueden ponerle algo de sombra pues el sol da muy fuerte y las carpas que hay, no son suficientes"
248,"En general el servicio estuvo muy bien, solo que el sanitario estaba goteando y el sonido era algo molesto, atencion excelente, experiencia excelente, buenas  instalaciones, buen servicio y bueno ubicación"
249,Sin duda una actitud sin sorprendentes un ambiente espectacular sin duda todo eso mas el servicio excelente hacen que te sientas como en tu propia casa altamente recomendable sin problema alguno me volvería a hospedar en este hotel.
250,"Las habitaciones muy espaciosas, limpias y con una buena distribucíonEl servicio impecable, el personal muy atento a las necesidades del huesped.La ubicación perfecta, en una zona muy segura y cerca de todos los servicios y transportaciones necesariasMe agradó mucho la calidez de su personal, la velocidad de internet que permite laborar de manera fluida"
251,"Excelente actitud, excelente ambiente, todo super limpio, de las mejores experiencias, cuando estas lejos de casa, cuando se trabaja lejos de casa; lo mas importante es sentirse como en ella; y asi me senti!"
252,"El hotel, en comparación con otras opciones en Barranquilla, se ve envejecido y falto de detalles. Los baños en las habitaciones son pequeños y poco iluminados. Lo positivo es su gente y que hace para de la red Starwood. "
253,"La atención de sus colaboradores es excelente, tanto que te sientes como en casa, las habitaciones son super cómodas y muy aseadas, la comida es deliciosa y esta situado en una buena zona de la ciudad.        "
254,"Habitaciones cómodas, buena ubicación, desayuno completo, zonas húmedas pequeñas, cerca a buenos restaurantes,  entrada al parqueadero pequeña, solo permiten ingreso al conductor. ingreso rápido, personal muy atento."
255,"No volveria a hospedarme en el hotel. Asi las habitaciones sean amplias y comodas, la bulla y ruido del lobby conun bar abierto es horrible. Incomodo y llegar cansados en la tarde para escuchar este ruido es horrible "
256,"Excelente atención del personal, es lo primordial en un hotel cuando viajo y cada uno de los trabajadores me hicieron sentir en casa con una bienvenida cálida y con una sonrisa en su cara. Felicitaciones a todos y volveré muy pronto! 100% recomendado "
257,"Hotel muy bien ubicado, excelentes habitaciones, buen servicio del restaurante, calidad de sueño. Atención al cliente muy buena, atienden los requerimientos rápidamente. Acceso a zona comercial y otros restaurantes"
258,"Muy buena experiencia en todos los aspectos.Excelente servicio y relación calidad precio.Ubicación cerca de la zona de restaurantes. Las camas muy buenas para un descanso perfecto.Volveré a este hotel en plan familiar. Aunque prefiero hoteles mas nuevos, superó mis expectativas."
259,"Buena atención desde el check in hasta el check out, alimentación acorde a la ciudad y el horario en que servían, un problema con el aire acondicionado del salón, ya que no se podía graduar en su temperatura, de resto muy buen hotel."
260,"Un lugar excepcional para salir de la rutina. El servicio y las instalaciones son excelentes. El desayuno  es variado, fresco. Las habitaciones limpias y bien acondicionadas con buenas sábanas, cama confortable, room service inmediato y el personal con una atención única vía correo, teléfono  y en el hotel. Muy recomendado. "
261,"Su ubicación, las instalaciones, el servicio al cliente, todo esto hace que respires comodidad. Es el sitio ideal para los viajes de trabajo o descanso en Barranquilla. No olvides visitar el restaurante Cooks que ofrece una amplia gama de opciones típicas de la región "
262,"Recomendaria el Hotel para planes de vacaciones en familia y en general a amigos ya que esta ubicado en un sitio tranquilo y muy agradable. Esta cerca de centro comerciales, al malecon y bastante central."
263,"El hotel tiene un personal maravilloso con una excelente atención al huésped, las camas son realmente cómodas y el desayuno es delicioso. Lo recomendariamos y esperamos volver muy pronto a la ciudad ..."
264,El restaurante Cook´s y el restaurante para el desayuno no llenan las expectativasTienen oportunidades de mejora en la variedad del bufette y de la cartaLos demas servicios del hotel OK bien en todos aspecto
265,"estuve en barranquilla por varios dia y mi experiencia en el hotel fue lo que marco la diferencia, empezando por el check in, muy rapido y dan toda la informacion, los botones muy serviciales, el restaurante todos muy sonrientes y amables, disfrute mucho mi experiencia, espero volver."
266,"excelente servio, el personal muy profesional y servicial, las habitaciones comodas e impecables, el personal del restaurante siempre prestos a complacer con mucha amabilidad, siempre serä un  placer disfrutar de mi estadia en  Four Points by Sheraton.Gracias por su atencion. "
267,"Cumplió mis espectativas, cuenta con muchas comodidades, la comida deliciosa, el servicio muy atento.Recomendaría el hotel.Lo único que puede pasar es más con los huéspedes que al llegar hacen ruido pero del resto excelente."
268,"Excelente atención, sevicio, comida e instalaciones.Muy cómodo, aseado y con excelente atención de sus colaboradores.Buenos espacios para reuniones y para descansar.Una carta con variedad de menú y opciones para escoger."
269,buen hotel pero en el momento del chek in fue casi 40 minutos para la atencion y nunca hubo servicio de botones el cafe de el loby algunos dias estaba frio o no habia.el servicio de restaurante es muy bueno y las instalaciones muy bonitas
270,"Este es un hotel que cumple con todas las calidades de atención y servicio, tiene todos los elementos necesarios tales como gimnasio, piscina, turco, buen servicio de restaurante que proporcionan satisfacción al huésped."
271,"excelente ubicacion y servicio del hotel. Cuartos amplios y comodos . buen internet y aire acondicionado. totalmente recomendado , empleados muy amables , desayuno muy completo aunque termina a las 10;00 am, deberia ser hasta las 11:00 al menos los fines de semana."
272,"Todo el excelente servicio, súper hotel, súper instalaciones, fue opacado por servicio de restaurante que supuestamente se acabo el servicio de desayuno que estaba incluido en el pago de la habitación, le pedí el favor que me dieran el desayuno, me dijeron que lo sentían, pero se había acabado, pero con mucho gusto me vendían los desayunos, terrible la situación!"
273,"Todo muy bueno, solo un detalle, las camas dobles para parejas muy incomodas, ya que en los extremos se doblan los colchones no permitiendo un sueño confortable y placentero, además las cobijas no son adecuadas para 2 personas."
274,Todo el personal tiene sentido de hospitalidad y amabilidad insuperable.  Lastima que la piscina sea tan pequeña pero el servicio fue espectacular.  Siempre tuvimos respuesta a nuestras peticiones y servicios especiales. 
275,"Buen servicio y buena ubicación.  Fui por viaje de trabajo y estuvo muy bien.  En general, el servicio bueno. Lo único a mejorar es que tuve problemas con la tarjeta para ingresar a la habitación y me tocó devolverme hasta la recepción para que la cambiarán."
276,"La estadía en el hotel es muy agradable, las habitaciones súper cómodas y los funcionarios muy amables. el acceso a las diferentes zonas de la ciudad desde el hotel es fácil,  felicitaciones excelente hotel. 100% recomendado.  "
277,"Estuve con mi familia en el Hotel porque mis hijos tuvieron un campeonato de Baloncesto en Barranquilla. Eramos 7 familias y aproximadamente 15 niños y nos trataron a las mil maravillas, todo el personal del hotel fue muy amable, especial y comprensivo con los niños. "
278,"muy buena la atención y las comodidades del hotel  muy buenas para el precio, el restaurante excelente, hotel limpio y con atención con mucho detalle, lo recomiendo para quien quiera descansar y estar en un lugar agradable "
279,"Aparte del incidente del bloqueo de la puerta del baño, lo demás estuvo muy bien. La cerveza de barril del BAR del lobby, EXCELENTE. Sugiero algo mas de variedad en los platos ofrecidos en el desayuno."
280,"El check in malo, dicen entregarte la habitación a las 3pm y eran las 5pm y no entregaban habitación, en lo personal les falta muchisima organización, el area de bar y piscina en el ultimo piso, le falta tambien ambiente decoración y limpieza. "
281,"Que excelente lugar, que atención tan agradable, el desayuno es muy completo y balanceado, la piscina y el servicio de masajes es muy bueno.  los elevadores funcionan a la perfección, se podría mejorar las puertas de los baños en la sala de espera"
282,"Acabo de pasar tres semanas como huésped en el Hotel Four Points y debo decir primero que los empleados crean un ambiente muy acojedor; son personas muy amables, abiertas y serviciales, siempre están a la orden.  Cada día me sentía muy bienvenido al volverme al hotel después de pasar el día afuera tanto por los empleados como por el agradable ambiente del edificio y el aire acondicionado que les esperaba a todos que entraran.  En cuanto a las habitaciones son super cómodas igual como sus camas enormes.  Yo había leído sobre problemas de malos olores en otros hoteles antes de decidirme quedar en el Four Points y seguramente tomé la mejor decisión--nada de olores desagradables.  Como consecuencia de mi experiencia tan agradable, me volvería a quedarme en el Hotel Four Points en el"
283,…
284,"El Personal siempre estaba en la mejor disposición para satisfacer las necesidades del huesped, con mucha amabilidad y siempre con gran alegría. Las facilidades que brinda el hotel, le da al huésped la tranquilidad necesaria para disfrutar más de su estadia."
285,Magnifico hotel con excelente servicio y amabilidad en el trato. Recomendado 100%. El único posible lunar es el tamaño del parqueadero aunque hasta el momento nunca he tenido problema para encontrar puesto.
286,"El personal muy amable y muy servicial, el restaurante muy bueno, tanto para el desayuno como para la comida, buen internet y se encuentra ubicado en una muy buena zona de restaurantes, etc. El bar excelente."
287,"Muy cómodo, muy buen servicio, instalaciones muy adecuadas para viajes de negocios o descanso. Buena ubicación para trasladarse en la ciudad. Buen servicio de alimentación. Recomendado que mejoren la cobertura de la red wifi en las habitaciones."
288,"Sin duda mi estadìa en este hotel fue la mejor, el trato desde la entrada al hotel hasta el momento en que tomé el taxi para irme, fue la mejor, la disposición de servicio de los que laboran en ese hotel me hace querer volver. De las mejores experiencias que he tenido en hoteles. "
289,"El servicio siempre fue amable, la habitación muy cómoda y en perfectas condiciones. El servicio de internet funcionó bien siempre que lo utilicé. El desayuno era bueno y el trato amable y acogedor, la variedad de frutas podría ser mayor."
290,"El servicio en general fue muy eficiente y en las actividades que tuvimos estuvieron muy bien acompañadas, en cada momento nos acompañaron de la mejor manera y nos hicieron sentir muy bien, al momento de requerir un apoyo "
291,"Es muy grato, que te atiendan y cuiden porque estes tranquiloy en un hambiente agradable cuando te tienes que separar bastante tiempo de tu familia y hogar. Agradecido con la atencion de Charly en el bar del lobby.muy comprometido. "
292,"En terminos generales es un buen hotel, bien ubicado y comodo            Servicio confortable en la habitaciones y en sus instalaciones, Lobby, Restaurante.....No logre ver que mas servcios tenia la estadia fue conrta....Muchas gracias"
293,"Buen servicio, las instalaciones son muy bonitas, el servicio de restaurante es muy bueno, la habitación es muy limpia, ademas esta muy bien situado, se llega muy fácil a los supermercados y centro comerciales"
294,"Ninguna, en esta estadía todo fue excelente, felicitaciones por tan eficiente equipo!!! todos muy servicial con una sonrisa y prestos a colaborar en todo, los recomendaría, o siempre lo hago son mi primera opción para hospedarme siempre que visito la cuidad"
295,"Muy buen hotel con un ambiente familiar ideal para unas vacaciones estupendas y que no se puedan olvidar. El parqueadero es pequeño pero le dan prioridad a los huéspedes, lastima que no haya valet parking."
296,"Hotel altamente recomendado. Habitaciones agradables, buena comida, excelente ubicación y personal amable. Excelente relación precio - calidad. Esta cerca de muchos restaurantes y es una zona segura. Existen salas VIP para reuniones. 100% recomendado."
297,"Estuve hospedado con mi esposa e hija y la pasamos de maravilla, el personal del hotel siempre es amable y educado con una enorme sonrisa en su rostro se nota que les encanta lo que hacen y nos atendieron como reyes. Si quieren pasar un tiempo de calidad en familia este es el lugar perfecto, le agradecemos sus atenciones que tuvieron con mi familia y en especial con mi hija. "
298,"muy buena atencion por parte de los recepcionista  y el personal  de restaurante, el desayuno muy completo y delicioso , recomendare este hotel por la calidad de sus servicio, el ambiente  es muy acogedor "
299,"La relación precio-calidad es bastante adecuada, además de que el hotel está ubicado en una zona con muchas opciones de restaurantes y un centro comercial a 2 calles. El personal es muy amable y siempre está dispuesto a atenderte."
300,"Nos ha encantado visitar este hotel en familia, muy agradable la estadía, cómodo, muy limpia las instalaciones, el personal muy amable con una sonrisa siempre y la ubicación excelente! Lo recomiendo!! "
301,"Excelente atención, la comidad de excelente calidad, también la calidad humana de los empleados, el internrt, la ubicación es de facil acceso, las instalaciones del hotel son de calidad. El ascensor impecable"
302,"Excelente hotel bien localizado, personal bien presentado y muy amable, tiene centros comerciales cerca y la zona es muy tranquila y agradable, la cama bastante cómoda , me gustaría volver en otra ocasión.  "
303,Muy satisfecho con el servicio del hotel. Ubicación apropiada. Room amplio y muy limpio. La cama muy limpia al igual que los baños. Lo unico por mejorar sería la infraestructura que da a las ventanas del room. Ahí falta realizar mantenimiento. Se ve descuidado. 
304,excelente trato de todo el personal especialmente en el restaurante . se nota la preocupacion de todo el personal del hotel por atender bien al huésped especialmente Catalina Jeny y Jenifer. Y tambien Damian en el loby
305,"Excelente hotel, cómodo, seguro, atención de primera. Ubicado en una zona excelente. Fácil acceso. Habitaciones limpias, ordenadas, colchón suave y almohadas muy cómodas. Servicio internet de buena velocidad."
306,"Todo muy bien, exelente ubicación donde puedes encontrar muy cerca restaurantes de todo tipo y presupuesto, buen desayuno, habitación y cama cómoda excepto las almohadas incomodas. Deberían ofrecer varios tipos de almohadas dependiendo del gusto del cliente."
307,"No me dieron la factura del hospedaje y me parece muy grave además que es un viaje de negocio y necesito el documento para legalizar el viaje, lo solicité de mil maneras y la persona de la recepción no dio solución que porque ya era fin de semana y que no era con ella"
308,"en el hotel four points by sheraton barranquilla, a mis clientes presta un servicio optimo en todo lo que nos brindan y por ser elección de los clientes es un plus para seguir recomendando ya que son elecciones propias por la excelente atención."
309,"Todo excelencia, desde la llegada hasta el check out, servicio impecable, deliciosa la piscina. Atención de los empleados muy buena. El aseo   a la habitacion excelente y la bienvenida que se le dió a los niños los dejo muy contentos."
310,"excelente servicio y habitaciones, excelente comida, lo recomendaría a familiares y amigos sin dudarlo, ya que son una buena opción, para estadía de trabajo, en familia o amigos, adicional de su gran ubicación cercana a centros comerciales. "
311,Es un hotel acogedor porque no tiene demasiadas habitaciones  Los procesos en la recepción fueron rápidos  La calidad del restaurante es muy buena  Las habitaciones son bien amplías y cómodas con buena luz
312,Es la mejor opción para descansar y compartir en familia. Categóricamente esta muy bien ubicado. El personal que atiende es maravilloso y educado. El desayuno es increíble y muy variado. Mis hijos les encanta este hotel y descansamos muy bien mi esposa y yo. 
313,Excelente toda la atencion de todos me sentí como es casa todos muy dispuestos. El servicio del restaurante muy bueno y en recepción atención excelente y rápido los regimiento demasiado todo encantador
